wav_path,system_id,sample_id,avg_score,answer
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys8d3e2-utt76f6483.wav,sys8d3e2,utt76f6483,2.25,2.137074
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys8d3e2-utt9b214d7.wav,sys8d3e2,utt9b214d7,1.25,1.4225314
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys8d3e2-uttc4548cb.wav,sys8d3e2,uttc4548cb,1.375,1.2713203
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys8d3e2-utt8cef67e.wav,sys8d3e2,utt8cef67e,1.875,1.5795982
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys8d3e2-uttac88403.wav,sys8d3e2,uttac88403,3.0,1.864945
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys8d3e2-utt76b329d.wav,sys8d3e2,utt76b329d,2.25,2.5575855
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys8d3e2-utt0c1de92.wav,sys8d3e2,utt0c1de92,2.375,2.1597476
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys8d3e2-utt6ab6312.wav,sys8d3e2,utt6ab6312,2.0,1.3120823
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys8d3e2-utt6b2dd3f.wav,sys8d3e2,utt6b2dd3f,1.875,1.8206497
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys9dbae-utt1ef74c3.wav,sys9dbae,utt1ef74c3,2.625,2.6555858
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys9dbae-utt42c9173.wav,sys9dbae,utt42c9173,2.375,2.9980075
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys9dbae-uttee34d4f.wav,sys9dbae,uttee34d4f,1.75,2.2936778
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys9dbae-uttc7c9fd4.wav,sys9dbae,uttc7c9fd4,2.125,2.6218958
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys9dbae-uttce1e552.wav,sys9dbae,uttce1e552,2.875,2.9615824
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys9dbae-uttc14c48f.wav,sys9dbae,uttc14c48f,1.625,2.4555826
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys9dbae-utt4ad7c21.wav,sys9dbae,utt4ad7c21,2.0,2.481135
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys9dbae-utt3f012d5.wav,sys9dbae,utt3f012d5,1.5,2.1378336
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys9dbae-utt7216a1b.wav,sys9dbae,utt7216a1b,2.25,2.0863526
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sysc382e-uttb387947.wav,sysc382e,uttb387947,1.0,1.2605933
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sysc382e-utt4a0cde1.wav,sysc382e,utt4a0cde1,1.25,1.2596567
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sysc382e-utt6e4360e.wav,sysc382e,utt6e4360e,1.125,1.3325163
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sysc382e-utt3c5a7d6.wav,sysc382e,utt3c5a7d6,1.125,1.4512908
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sysc382e-utt52f12f3.wav,sysc382e,utt52f12f3,2.0,1.2864612
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sysc382e-uttb9d5e7c.wav,sysc382e,uttb9d5e7c,1.125,1.5530865
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sysc382e-utt27068c2.wav,sysc382e,utt27068c2,1.0,1.275209
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sysc382e-utt4295bb6.wav,sysc382e,utt4295bb6,1.0,1.2708851
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sysc382e-uttcf9f802.wav,sysc382e,uttcf9f802,1.5,1.3206133
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys520c6-utt06e8ae4.wav,sys520c6,utt06e8ae4,2.625,2.4378264
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys520c6-utt3f40b05.wav,sys520c6,utt3f40b05,1.875,2.258675
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys520c6-utt743babf.wav,sys520c6,utt743babf,3.0,2.193665
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys520c6-utt402f2e8.wav,sys520c6,utt402f2e8,2.625,2.5849984
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys520c6-utt055c048.wav,sys520c6,utt055c048,3.0,2.812435
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys520c6-utt499ac83.wav,sys520c6,utt499ac83,2.125,2.5394979
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys520c6-utt6151e9a.wav,sys520c6,utt6151e9a,1.75,1.918174
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys520c6-utt5050ac4.wav,sys520c6,utt5050ac4,2.25,2.2079186
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys520c6-uttd01a553.wav,sys520c6,uttd01a553,3.125,2.2576642
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys29328-utt5c15380.wav,sys29328,utt5c15380,2.875,2.3259091
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys29328-uttdb2c57b.wav,sys29328,uttdb2c57b,1.5,1.5408149
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys29328-uttbac30dd.wav,sys29328,uttbac30dd,1.25,1.3989569
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys29328-utt6ad5c2c.wav,sys29328,utt6ad5c2c,1.25,1.6289885
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys29328-utta757110.wav,sys29328,utta757110,2.625,2.4342914
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys29328-utt654d4cf.wav,sys29328,utt654d4cf,1.875,2.443939
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys29328-utt510325c.wav,sys29328,utt510325c,2.125,1.8020099
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys29328-utt2c5aca5.wav,sys29328,utt2c5aca5,1.625,1.836064
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys29328-utt6fbc8ee.wav,sys29328,utt6fbc8ee,1.625,1.7538656
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys67c8d-uttc059e6e.wav,sys67c8d,uttc059e6e,2.125,1.779359
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys67c8d-uttc7afa2c.wav,sys67c8d,uttc7afa2c,3.25,1.5369228
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys67c8d-utta26077a.wav,sys67c8d,utta26077a,2.0,1.6661532
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys67c8d-utt3251919.wav,sys67c8d,utt3251919,1.875,1.7646445
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys67c8d-uttdd15bee.wav,sys67c8d,uttdd15bee,2.25,2.333607
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys67c8d-utt2d8b61a.wav,sys67c8d,utt2d8b61a,1.625,2.0025885
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys67c8d-uttcbf6ac9.wav,sys67c8d,uttcbf6ac9,2.0,2.0835202
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys67c8d-utt264ea8c.wav,sys67c8d,utt264ea8c,2.375,1.8142816
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys67c8d-utt7c4530e.wav,sys67c8d,utt7c4530e,2.125,1.9377092
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys35c79-uttd11464c.wav,sys35c79,uttd11464c,3.375,2.3846571
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys35c79-utt178f935.wav,sys35c79,utt178f935,2.0,2.5215495
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys35c79-utt5d73a1e.wav,sys35c79,utt5d73a1e,1.375,2.3584247
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys35c79-utt6c56acd.wav,sys35c79,utt6c56acd,2.25,2.3760808
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys35c79-utt5a95eac.wav,sys35c79,utt5a95eac,2.125,2.7075186
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys35c79-utt0d893a0.wav,sys35c79,utt0d893a0,1.75,2.8599126
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys35c79-utt0b2ee23.wav,sys35c79,utt0b2ee23,1.625,2.29543
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys35c79-uttfa6952a.wav,sys35c79,uttfa6952a,2.25,2.467137
/data/group1/z44476r/Corpora/BVCC/main/DATA/wav/sys35c79-uttedf69c0.wav,sys35c79,uttedf69c0,2.5,2.660116
