wav_path,system_id,sample_id,speaker_id,duration_ms,score
train/audio88.wav,audio88,audio88,A3,4353.6875,1.0
train/audio32.wav,audio32,audio32,A3,2925.6875,1.0
train/audio119.wav,audio119,audio119,A3,3773.1875,1.0
train/audio184.wav,audio184,audio184,A3,3622.3125,1.0
train/audio140.wav,audio140,audio140,A3,4249.25,1.5
train/audio57.wav,audio57,audio57,A3,2809.5625,4.0
train/audio128.wav,audio128,audio128,A3,3274.0,1.0
train/audio125.wav,audio125,audio125,A3,3204.3125,1.0
train/audio70.wav,audio70,audio70,A3,4876.1875,1.0
train/audio45.wav,audio45,audio45,A3,2496.125,1.0
train/audio53.wav,audio53,audio53,A3,1892.375,2.0
train/audio67.wav,audio67,audio67,A3,3006.9375,4.0
train/audio191.wav,audio191,audio191,A3,3831.25,1.0
train/audio157.wav,audio157,audio157,A3,3262.375,1.0
train/audio177.wav,audio177,audio177,A3,3599.0625,1.0
train/audio186.wav,audio186,audio186,A3,2995.3125,3.0
train/audio37.wav,audio37,audio37,A3,4342.125,1.0
train/audio160.wav,audio160,audio160,A3,3726.75,3.0
train/audio182.wav,audio182,audio182,A3,3471.375,1.0
train/audio197.wav,audio197,audio197,A3,2983.75,1.0
train/audio91.wav,audio91,audio91,A3,3192.6875,2.0
train/audio0.wav,audio0,audio0,A3,3169.5,2.0
train/audio137.wav,audio137,audio137,A3,5131.5625,1.0
train/audio62.wav,audio62,audio62,A3,4562.6875,4.0
train/audio155.wav,audio155,audio155,A3,3796.4375,2.0
train/audio92.wav,audio92,audio92,A3,2600.625,2.0
train/audio50.wav,audio50,audio50,A3,4934.1875,1.5
train/audio174.wav,audio174,audio174,A3,4272.4375,1.0
train/audio170.wav,audio170,audio170,A3,2345.1875,2.0
train/audio51.wav,audio51,audio51,A3,4284.0625,1.0
train/audio22.wav,audio22,audio22,A3,2345.1875,2.0
train/audio21.wav,audio21,audio21,A3,3471.375,1.0
train/audio25.wav,audio25,audio25,A3,3668.75,1.0
train/audio115.wav,audio115,audio115,A3,2890.875,1.5
train/audio65.wav,audio65,audio65,A3,3308.8125,1.0
train/audio108.wav,audio108,audio108,A3,4133.125,2.0
train/audio133.wav,audio133,audio133,A3,3041.8125,1.0
train/audio55.wav,audio55,audio55,A3,4562.6875,4.0
train/audio77.wav,audio77,audio77,A3,3332.0625,2.0
train/audio41.wav,audio41,audio41,A3,3053.375,1.0
train/audio165.wav,audio165,audio165,A3,2321.9375,1.0
train/audio54.wav,audio54,audio54,A3,2565.75,2.5
train/audio114.wav,audio114,audio114,A3,3285.5625,1.0
train/audio110.wav,audio110,audio110,A3,3065.0,3.0
train/audio176.wav,audio176,audio176,A3,2705.0625,1.0
train/audio141.wav,audio141,audio141,A3,3030.1875,5.0
train/audio97.wav,audio97,audio97,A3,2612.1875,1.0
train/audio120.wav,audio120,audio120,A3,2681.875,1.0
train/audio131.wav,audio131,audio131,A3,3564.25,1.0
train/audio7.wav,audio7,audio7,A3,4376.9375,2.0
train/audio73.wav,audio73,audio73,A3,5630.8125,2.0
train/audio24.wav,audio24,audio24,A3,3564.25,1.0
train/audio139.wav,audio139,audio139,A3,4876.1875,1.0
train/audio163.wav,audio163,audio163,A3,3541.0,1.0
train/audio49.wav,audio49,audio49,A3,2809.5625,3.0
